# Multipole Expansion Model for Optical Coupling Strength
# 
# Parameters:
# a = 300 nm (Major axis)
# b = 180 nm (Minor axis)
# lambda = 1064 nm (Wavelength)
# V = 0.04 ×10⁻¹⁸ m³ (Volume)
# rho = 3500 kg/m³ (Density)
# I = 3.49e-30 kg·m² (Moment of inertia)
# L1 = 0.210 (Depolarization factor, major axis)
# L2 = 0.395 (Depolarization factor, minor axis)
# epsilon_r = 5.7 (Relative permittivity)
# C1 = 0.033 (Multipole expansion coefficient, 1st order)
# C2 = 0.012 (Multipole expansion coefficient, 2nd order)
#
# Columns:
# R_lambda: Distance between particles in units of wavelength (dimensionless)
# g_*mW_kHz: Coupling strength at different laser powers (in kHz)
#
# Note: Data generated for Fig. 1 in manuscript
R_lambda,g_600mW_kHz,g_800mW_kHz,g_1000mW_kHz
1.0759999999999945,79.15624811304073,91.40176231220974,102.19027689668971
1.0779999999999945,78.30270068477489,90.41617063725893,101.08835190506576
1.0799999999999945,77.44039026806648,89.4204603348357,99.97511394400813
1.0819999999999945,76.56947031317998,88.41480859404305,98.85076111695646
1.0839999999999943,75.69009499923466,87.39939344559296,97.71549246829773
1.0859999999999945,74.80241921173187,86.37439373585725,96.56950795435446
1.0879999999999945,73.90659852003331,85.33998910086163,95.41300841430893
1.0899999999999943,73.00278915479295,84.2963599402264,94.24619554106819
1.0919999999999943,72.09114798534625,83.24368739105763,93.0692718520735
1.0939999999999943,71.17183249705964,82.18215330179267,91.88244066005862
1.0959999999999943,70.24500076864322,81.11194020600327,90.68590604376082
1.0979999999999943,69.3108114494304,80.03323129616008,89.4798728185888
1.099999999999994,68.3694237366258,78.94621039736097,88.26454650724996
1.1019999999999943,67.42099735252697,77.851061941029,87.04013331034379
1.1039999999999943,66.46569252172135,76.74797093858145,85.80684007692325
1.105999999999994,65.50366994826214,75.6371229550751,84.56487427502888
1.107999999999994,64.53509079282536,74.51870408282933,83.31444396219878
1.109999999999994,63.560116649852716,73.39290091503295,82.05575775596013
1.1119999999999943,62.57890952468234,72.25990051933717,80.78902480430517
1.113999999999994,61.591631810670435,71.1198904114378,79.5144547561552
1.115999999999994,60.59844626630684,69.97305852865067,78.23225773181717
1.117999999999994,59.59951599232852,68.81959320348454,76.942644293437
1.1199999999999941,58.59500440883329,67.6596831372144,75.64582541545386
1.1219999999999941,57.58507523239645,66.49351737345789,74.34201245505757
1.123999999999994,56.569892453194115,65.32128527175959,73.03141712265517
1.125999999999994,55.54962031213649,64.143176481187,71.71425145234997
1.1279999999999941,54.524423278013515,62.959380913940365,70.39072777243679
1.129999999999994,53.494466024655736,61.77008871898055,69.06105867591673
1.131999999999994,52.4599134081143,60.57549025567851,67.72545699103665
1.133999999999994,51.42093044386247,59.37577606749001,66.38413575185643
1.135999999999994,50.37768228402222,58.17113685565935,65.03730816884885
1.137999999999994,49.330334194618125,56.96176345295393,63.68518759953411
1.1399999999999937,48.279051532861914,55.74784679743529,62.327987519154654
1.141999999999994,47.223999724471255,54.52957790626858,60.9659214913936
1.143999999999994,46.16534424102551,53.30714784957563,59.59920313914145
1.1459999999999937,45.10325057736015,52.08074772433204,58.22804611531199
1.1479999999999937,44.03788422900474,50.85056862831492,56.85266407371519
1.1499999999999937,42.96941066966633,49.61680163410286,55.47327063998836
1.151999999999994,41.89799532876205,48.3796377631329,54.09007938259054
1.1539999999999937,40.82380356900208,47.1392679598155,52.70330378386267
1.1559999999999935,39.74700066402794,45.89588306571353,51.313157211158476
1.1579999999999937,38.667751776108105,44.64967379378729,49.91985288804966
1.1599999999999937,37.5862219338943,43.40083070270977,48.52360386560953
1.1619999999999937,36.50257601023994,42.14954417125361,47.12462299377656
1.1639999999999935,35.416978700085636,40.89600437275537,45.72312289280483
1.1659999999999935,34.32959449841328,39.640401249659185,44.319315924802815
